Date,Retailer,Company,Margin,Amount
7/23/2019,WattWizard,AnchorVolt Industries,263.48,2075.30
7/23/2019,WattWizard,AnchorVolt Industries,851.41,2088.20
7/23/2019,WattWizard,AnchorVolt Industries,357.01,2783.00
7/23/2019,WattWizard,AnchorVolt Industries,296.51,2702.00
7/23/2019,WattWizard,AnchorVolt Industries,166.51,1473.00
7/23/2019,WattWizard,AnchorVolt Industries,357.51,2241.00
7/23/2019,WattWizard,AnchorVolt Industries,290.76,1740.50
7/23/2019,WattWizard,AnchorVolt Industries,129.88,1002.00
7/23/2019,WattWizard,SupraVolt Manufacturing,106.76,435.00
7/23/2019,WattWizard,SupraVolt Manufacturing,304.41,1125.00
7/23/2019,WattWizard,OrionVolt Systems,80.75,546.50
7/23/2019,WattWizard,OrionVolt Systems,94.35,643.30
7/23/2019,WattWizard,FusionAnchor Technologies,383.85,3129.09
7/23/2019,WattWizard,ElectroSaar Fabricators,58.00,400.00
7/23/2019,VoltMaster,ElectroSaar Fabricators,-33.32,568.00
7/23/2019,VoltMaster,ElectroSaar Fabricators,279.00,1860.00
7/23/2019,Cash,HavellCore Technologies,11.55,11.20
7/23/2019,Cash,Others,25.60,76.00
7/23/2019,Cash,SupraVolt Manufacturing,21.98,106.20
7/23/2019,Cash,OrionVolt Systems,27.96,89.80
7/26/2019,PowerNode,AnchorVolt Industries,107.84,707.70
7/26/2019,PowerNode,AnchorVolt Industries,134.93,805.10
7/26/2019,PowerNode,AnchorVolt Industries,449.65,2759.60
7/26/2019,PowerNode,FusionAnchor Technologies,282.04,2404.78
7/26/2019,PowerNode,FusionAnchor Technologies,266.63,1743.83
7/26/2019,PowerNode,FusionAnchor Technologies,346.38,2998.39
7/26/2019,PowerNode,FusionAnchor Technologies,131.96,1041.37
7/26/2019,VoltVille,AnchorVolt Industries,263.66,1970.50
7/26/2019,VoltVille,AnchorVolt Industries,190.91,1277.50
7/26/2019,VoltVille,AnchorVolt Industries,166.48,896.50
7/26/2019,VoltVille,AnchorVolt Industries,258.64,2039.10
7/26/2019,VoltVille,AnchorVolt Industries,532.65,2516.50
7/26/2019,VoltVille,AnchorVolt Industries,224.27,1381.30
7/26/2019,VoltVille,AnchorVolt Industries,211.33,1641.25
7/26/2019,VoltVille,AnchorVolt Industries,111.79,894.20
7/26/2019,VoltVille,AnchorVolt Industries,212.57,1235.00
7/26/2019,VoltVille,AnchorVolt Industries,515.17,2172.01
7/26/2019,VoltVille,OrionVolt Systems,292.91,536.50
7/26/2019,ElectroMotive,AnchorVolt Industries,525.61,3930.00
7/26/2019,ElectroMotive,AnchorVolt Industries,505.58,4053.20
7/26/2019,ElectroMotive,AnchorVolt Industries,178.89,1480.70
7/26/2019,ElectroMotive,AnchorVolt Industries,286.78,1230.60
7/26/2019,ElectroMotive,AnchorVolt Industries,208.80,1543.00
7/26/2019,ElectroSphere,GridHaven Systems,271.75,1613.00
7/26/2019,PulseCraft Depot,ApexVolt Industries,27.00,34.00
7/26/2019,PulseCraft Depot,PowerShakti Engineering,57.14,950.00
7/26/2019,PulseCraft Depot,NexaGrid Solutions,14.10,56.00
7/27/2019,Cash,OrionVolt Systems,61.64,249.78
7/16/2019,PulseCraft Depot,AnchorVolt Industries,437.02,1083.44
7/28/2019,WattWorld,AnchorVolt Industries,102.61,733.50
7/28/2019,WattWorld,AnchorVolt Industries,1495.38,4994.18
7/28/2019,WattWorld,AnchorVolt Industries,265.75,1966.50
7/28/2019,WattWorld,AnchorVolt Industries,450.82,3883.80
7/28/2019,WattWorld,AnchorVolt Industries,184.31,1337.40
7/28/2019,WattWorld,AnchorVolt Industries,1065.53,5019.00
7/28/2019,WattWorld,AnchorVolt Industries,212.40,1650.25
7/28/2019,WattWorld,AnchorVolt Industries,173.33,1025.40
7/28/2019,WattWorld,PowerCrest Engineering,97.10,501.50
7/28/2019,WattWorld,PowerCrest Engineering,153.98,950.00
7/28/2019,WattWorld,PowerCrest Engineering,266.67,1628.00
7/29/2019,BrightEnergy,AnchorVolt Industries,528.28,3476.00
7/29/2019,BrightEnergy,AnchorVolt Industries,737.10,5309.60
7/29/2019,BrightEnergy,AnchorVolt Industries,256.84,1596.20
7/29/2019,BrightEnergy,AnchorVolt Industries,213.04,1644.25
7/29/2019,BrightEnergy,OrionVolt Systems,150.21,763.75
7/29/2019,BrightEnergy,OrionVolt Systems,347.64,2099.00
7/29/2019,BrightEnergy,OrionVolt Systems,62.11,1532.80
7/29/2019,BrightEnergy,OrionVolt Systems,179.50,1004.00
7/29/2019,BrightEnergy,OrionVolt Systems,2646.00,12264.00
8/1/2019,WattWorld,AnchorVolt Industries,176.76,1165.00
8/2/2019,ElectroGlow,AnchorVolt Industries,315.66,2268.80
8/2/2019,ElectroGlow,AnchorVolt Industries,292.58,1704.70
8/2/2019,ElectroGlow,AnchorVolt Industries,323.18,2062.90
8/2/2019,ElectroGlow,AnchorVolt Industries,291.72,1228.60
8/2/2019,ElectroGlow,AnchorVolt Industries,398.22,1545.00
8/2/2019,ElectroGlow,OrionVolt Systems,86.61,815.00
8/2/2019,ElectroGlow,OrionVolt Systems,454.25,2047.28
8/2/2019,ElectroGlow,OrionVolt Systems,719.69,2942.16
8/2/2019,ElectroGlow,OrionVolt Systems,211.64,2138.48
8/2/2019,CurrentControl,SupraVolt Manufacturing,37.35,392.00
8/2/2019,CurrentControl,SupraVolt Manufacturing,111.00,491.00
8/2/2019,CurrentControl,OrionVolt Systems,226.96,889.70
8/2/2019,CurrentControl,FusionAnchor Technologies,318.49,2747.64
8/2/2019,CurrentControl,FusionAnchor Technologies,62.03,512.56
8/2/2019,CurrentControl,FusionAnchor Technologies,73.90,612.58
8/2/2019,CurrentControl,FusionAnchor Technologies,87.49,750.39
8/2/2019,CurrentControl,FusionAnchor Technologies,123.51,1051.71
8/2/2019,CurrentControl,FusionAnchor Technologies,273.47,2350.16
8/1/2019,Cash,NexaGrid Solutions,74.00,71.00
8/3/2019,ElectroEmpire,SupraVolt Manufacturing,30.30,391.00
8/3/2019,ElectroEmpire,SupraVolt Manufacturing,269.01,2271.00
8/3/2019,ElectroEmpire,OrionVolt Systems,617.52,3359.16
8/3/2019,SparkHaven,FusionAnchor Technologies,109.52,637.37
8/3/2019,SparkHaven,FusionAnchor Technologies,146.83,842.61
8/3/2019,BrightCircuit,AnchorVolt Industries,258.82,1973.50
8/3/2019,BrightCircuit,AnchorVolt Industries,208.70,1404.40
8/3/2019,BrightCircuit,AnchorVolt Industries,258.80,2038.10
8/3/2019,BrightCircuit,AnchorVolt Industries,432.30,2763.60
8/3/2019,BrightCircuit,AnchorVolt Industries,419.26,3284.50
8/4/2019,PulseCraft Depot,Others,45.08,122.00
8/4/2019,PulseCraft Depot,PowerShakti Engineering,44.77,849.00
8/4/2019,PulseCraft Depot,Others,-40.11,303.00
8/4/2019,PulseCraft Depot,OrionVolt Systems,120.08,411.20
8/4/2019,PulseCraft Depot,FusionAnchor Technologies,241.42,834.02
8/4/2019,PulseCraft Depot,FusionAnchor Technologies,112.80,416.60
8/4/2019,PulseCraft Depot,FusionAnchor Technologies,134.73,489.16
8/4/2019,PulseCraft Depot,ElectroSaar Fabricators,71.93,227.00
5/21/2019,Cash,SupraVolt Manufacturing,21.44,29.88
8/5/2019,ElectroFusion,Others,507.20,4415.00
8/5/2019,ElectroFusion,Others,252.06,1541.00
8/5/2019,ElectroFusion,Others,534.16,4163.60
8/5/2019,ElectroFusion,Others,278.27,1839.67
8/5/2019,ElectroFusion,Others,22.65,378.00
8/5/2019,ElectroFusion,Others,119.67,506.00
8/5/2019,ElectroFusion,SupraVolt Manufacturing,85.16,332.00
8/5/2019,ElectroFusion,SupraVolt Manufacturing,151.20,444.00
8/5/2019,ElectroFusion,OrionVolt Systems,183.18,997.00
8/5/2019,ElectroFusion,OrionVolt Systems,91.35,635.30
8/5/2019,ElectroFusion,FusionAnchor Technologies,850.45,3394.87
8/5/2019,ElectroFusion,FusionAnchor Technologies,643.86,5495.29
8/5/2019,ElectroFusion,FusionAnchor Technologies,236.38,1961.68
8/5/2019,ElectroFusion,FusionAnchor Technologies,116.04,1000.12
8/5/2019,ElectroFusion,FusionAnchor Technologies,141.78,1233.16
8/5/2019,ElectroFusion,FusionAnchor Technologies,348.88,2984.52
8/5/2019,ElectroFusion,FusionAnchor Technologies,245.97,2098.42
8/5/2019,ElectroFusion,FusionAnchor Technologies,278.40,2349.16
8/6/2019,Cash,BharatElectra Works,170.00,1894.00
8/6/2019,PulseCraft Depot,NexaGrid Solutions,24.20,104.00
8/6/2019,PulseCraft Depot,SupraVolt Manufacturing,55.45,250.00
8/6/2019,PulseCraft Depot,OrionVolt Systems,90.44,412.40
8/6/2019,Cash,BharatElectra Works,-293.81,16712.60
8/7/2019,VoltVision,BharatElectra Works,-244.63,4285.90
8/7/2019,VoltVision,BharatElectra Works,-376.26,6990.19
8/7/2019,VoltVision,BharatElectra Works,-370.70,6055.79
8/7/2019,VoltVision,BharatElectra Works,-295.76,4968.05
8/7/2019,PulseCraft Depot,Others,27.64,65.80
8/7/2019,PulseCraft Depot,Others,210.97,621.00
8/7/2019,PulseCraft Depot,PowerShakti Engineering,14.44,820.40
8/7/2019,PulseCraft Depot,Others,-20.88,95.00
8/7/2019,PulseCraft Depot,OrionVolt Systems,168.82,466.60
8/7/2019,PulseCraft Depot,FusionAnchor Technologies,88.43,288.34
8/7/2019,PulseCraft Depot,FusionAnchor Technologies,26.54,68.60
8/7/2019,PulseCraft Depot,FusionAnchor Technologies,58.76,169.60
8/7/2019,PulseCraft Depot,FusionAnchor Technologies,46.91,147.20
8/7/2019,Cash,AnchorVolt Industries,35.68,148.22
8/7/2019,Cash,AnchorVolt Industries,35.55,122.84
8/7/2019,Cash,AnchorVolt Industries,59.62,174.26
8/7/2019,Cash,AnchorVolt Industries,14.86,50.34
8/7/2019,Cash,AnchorVolt Industries,19.16,83.44
8/7/2019,Cash,AnchorVolt Industries,135.27,402.50
8/7/2019,Cash,DynoAnchor Works,9.91,56.74
8/7/2019,Cash,PulseHavell Solutions,45.36,94.25
8/7/2019,Cash,VoltIndus Fabrications,56.39,192.20
8/7/2019,Cash,VoltIndus Fabrications,253.98,782.30
8/7/2019,Cash,OrionVolt Systems,38.68,105.70
8/8/2019,CurrentCraft,AnchorVolt Industries,187.23,1469.00
8/8/2019,CurrentCraft,AnchorVolt Industries,429.15,3857.00
8/8/2019,CurrentCraft,OrionVolt Systems,376.93,1505.40
8/8/2019,CurrentCraft,OrionVolt Systems,160.57,946.74
8/8/2019,CurrentCraft,OrionVolt Systems,392.95,1580.32
8/8/2019,ElectroEmpire,OrionVolt Systems,881.91,5131.66
8/8/2019,ElectroEmpire,OrionVolt Systems,1050.07,5052.00
8/8/2019,PulseCraft Depot,ZenithWeld Electric,631.80,898.00
8/8/2019,Cash,SupraVolt Manufacturing,30.94,265.00
8/9/2019,PowerSphere,AnchorVolt Industries,2083.88,5549.00
8/9/2019,PowerSphere,AnchorVolt Industries,325.23,2323.00
8/9/2019,PowerSphere,AnchorVolt Industries,552.61,3940.00
8/9/2019,PowerSphere,AnchorVolt Industries,298.36,2594.20
8/9/2019,PowerSphere,AnchorVolt Industries,204.65,1403.40
8/9/2019,PowerSphere,AnchorVolt Industries,267.73,1589.20
8/9/2019,PowerSphere,AnchorVolt Industries,500.77,4060.20
8/9/2019,PowerSphere,AnchorVolt Industries,1024.17,5008.00
8/9/2019,PowerSphere,AnchorVolt Industries,439.94,2769.60
8/9/2019,PowerSphere,AnchorVolt Industries,328.47,2045.80
8/9/2019,PowerSphere,AnchorVolt Industries,305.55,2314.00
8/9/2019,PowerSphere,AnchorVolt Industries,102.94,2462.00
8/9/2019,PowerSphere,AnchorVolt Industries,206.05,1506.80
8/9/2019,PowerSphere,PowerCrest Engineering,91.10,496.50
8/9/2019,PowerSphere,PowerCrest Engineering,152.96,953.00
8/9/2019,PowerSphere,SupraVolt Manufacturing,139.89,590.00
8/9/2019,PowerSphere,OrionVolt Systems,1454.68,5332.00
8/9/2019,PowerSphere,OrionVolt Systems,298.63,1725.00
8/9/2019,PulseCraft Depot,BharatElectra Works,-76.89,2062.90
8/9/2019,PulseCraft Depot,HavellCore Technologies,-2.36,561.00
8/9/2019,PulseCraft Depot,ElectraBharat Manufacturing,38.70,286.00
8/10/2019,ElectroVault,AnchorVolt Industries,907.14,6939.00
8/10/2019,ElectroVault,AnchorVolt Industries,999.30,6165.00
8/10/2019,ElectroVault,OrionVolt Systems,1013.58,3916.20
8/10/2019,ElectroVault,OrionVolt Systems,501.01,2368.80
8/10/2019,WattWorld,AnchorVolt Industries,154.55,1160.00
8/10/2019,WattWorld,AnchorVolt Industries,73.47,228.30
8/10/2019,WattWorld,OrionVolt Systems,112.32,675.40
8/10/2019,PulseCraft Depot,AnchorVolt Industries,37.82,138.20
8/10/2019,PulseCraft Depot,AnchorVolt Industries,27.20,79.44
8/10/2019,PulseCraft Depot,VoltStar Technologies,102.24,201.60
8/10/2019,PulseCraft Depot,OrionVolt Systems,26.99,99.15
8/13/2019,Cash,ApexVolt Industries,10.27,93.00
8/13/2019,Cash,HavellCore Technologies,6.15,24.00
8/13/2019,Cash,SupraVolt Manufacturing,22.85,41.00
8/12/2019,Cash,AnchorVolt Industries,992.00,1074.00
8/12/2019,Cash,BharatElectra Works,470.00,513.00
8/15/2019,WattWorks,Others,140.48,1633.73
8/15/2019,WattWorks,OrionVolt Systems,36.83,322.00
8/15/2019,WattWorks,OrionVolt Systems,215.26,2520.00
8/15/2019,WattWorks,OrionVolt Systems,210.18,2534.00
8/15/2019,WattWorks,OrionVolt Systems,61.27,673.00
8/15/2019,WattWorks,OrionVolt Systems,300.94,3365.00
8/15/2019,WattWorks,OrionVolt Systems,295.94,3362.00
8/15/2019,PowerGrid,OrionVolt Systems,508.40,2665.00
8/15/2019,PowerGrid,OrionVolt Systems,1545.50,7568.00
8/15/2019,PowerGrid,OrionVolt Systems,534.40,3877.00
8/17/2019,ElectroSphere,AnchorVolt Industries,303.32,2587.20
8/17/2019,ElectroSphere,AnchorVolt Industries,380.88,2553.00
8/17/2019,ElectroSphere,AnchorVolt Industries,213.04,1642.25
8/17/2019,ElectroSphere,FusionAnchor Technologies,371.67,3197.70
8/17/2019,ElectroSphere,FusionAnchor Technologies,533.23,4051.34
8/17/2019,ElectroSphere,FusionAnchor Technologies,361.30,2667.34
8/17/2019,SparkHaven,OrionVolt Systems,3614.00,13306.00
8/24/2019,SparkWave,AnchorVolt Industries,253.26,2310.00
8/24/2019,SparkWave,ElectraBharat Manufacturing,472.18,4106.00
8/24/2019,SparkWave,ElectraBharat Manufacturing,156.07,1370.00
8/24/2019,SparkWave,ElectraBharat Manufacturing,312.12,2732.00
8/24/2019,SparkWave,SupraVolt Manufacturing,205.51,221.00
8/24/2019,SparkWave,SupraVolt Manufacturing,103.23,733.00
8/24/2019,SparkWave,SupraVolt Manufacturing,76.75,624.00
8/24/2019,SparkWave,SupraVolt Manufacturing,89.56,744.00
8/24/2019,SparkWave,SupraVolt Manufacturing,350.24,2249.70
8/18/2019,PulseCraft Depot,NexaGrid Solutions,33.91,393.08
8/18/2019,PulseCraft Depot,NexaGrid Solutions,3.67,89.26
8/18/2019,ElectroLink,AnchorVolt Industries,325.21,2319.00
8/18/2019,ElectroLink,AnchorVolt Industries,869.83,5516.20
8/18/2019,ElectroLink,AnchorVolt Industries,300.53,2324.00
8/18/2019,ElectroLink,OrionVolt Systems,356.61,1802.00
8/18/2019,ElectroLink,OrionVolt Systems,362.61,1792.00
8/18/2019,ElectroLink,OrionVolt Systems,113.68,505.76
8/18/2019,ElectroLink,OrionVolt Systems,112.56,949.40
8/18/2019,ElectroLink,FusionAnchor Technologies,186.15,1336.17
8/18/2019,BrightVolt,AnchorVolt Industries,64.49,274.40
8/18/2019,BrightVolt,AnchorVolt Industries,90.42,374.90
8/18/2019,BrightVolt,AnchorVolt Industries,66.21,251.30
8/18/2019,BrightVolt,AnchorVolt Industries,42.32,150.88
8/18/2019,BrightVolt,OrionVolt Systems,19.84,37.51
8/18/2019,Cash,ApexVolt Industries,504.00,541.00
8/18/2019,Cash,AnchorVolt Industries,1254.00,4310.20
8/18/2019,Cash,AnchorVolt Industries,804.38,2185.25
8/18/2019,Cash,AnchorVolt Industries,865.89,2445.39
8/18/2019,Cash,AnchorVolt Industries,754.23,2475.60
8/18/2019,Cash,AnchorVolt Industries,442.85,1379.92
8/18/2019,Cash,AnchorVolt Industries,785.52,2270.00
8/18/2019,Cash,AnchorVolt Industries,368.31,1157.07
8/18/2019,Cash,AnchorVolt Industries,1001.43,2932.20
8/18/2019,Cash,AnchorVolt Industries,194.26,557.37
8/18/2019,Cash,AnchorVolt Industries,556.01,1595.60
8/18/2019,Cash,AnchorVolt Industries,1302.92,3853.58
8/18/2019,Cash,AnchorVolt Industries,947.08,1522.00
8/18/2019,Cash,AnchorVolt Industries,40.79,184.80
8/18/2019,Cash,HavellCore Technologies,251.99,352.00
8/18/2019,Cash,SupraCharge Systems,558.53,3711.00
8/18/2019,Cash,Others,77.40,183.00
8/18/2019,Cash,PowerCrest Engineering,15.01,77.80
8/18/2019,Cash,VoltIndus Fabrications,876.44,3236.60
8/18/2019,Cash,OrionVolt Systems,823.41,1826.00
8/18/2019,Cash,OrionVolt Systems,48.68,129.93
8/18/2019,Cash,OrionVolt Systems,41.79,121.96
8/18/2019,Cash,OrionVolt Systems,212.80,368.00
8/19/2019,VoltVille,AnchorVolt Industries,105.27,706.70
8/19/2019,VoltVille,AnchorVolt Industries,130.31,804.10
8/19/2019,VoltVille,OrionVolt Systems,197.07,815.92
8/19/2019,VoltVille,OrionVolt Systems,108.65,497.76
8/19/2019,VoltVille,OrionVolt Systems,73.08,388.20
8/19/2019,VoltVille,OrionVolt Systems,111.08,680.40
8/19/2019,VoltVille,FusionAnchor Technologies,169.15,1384.82
8/19/2019,VoltVille,FusionAnchor Technologies,66.99,499.56
8/19/2019,VoltVille,FusionAnchor Technologies,74.86,623.58
8/19/2019,VoltVille,FusionAnchor Technologies,89.44,752.39
8/19/2019,VoltVille,FusionAnchor Technologies,126.43,1048.71
8/19/2019,VoltVille,FusionAnchor Technologies,146.14,1177.58
8/21/2019,PulseCraft Depot,ApexVolt Industries,21.17,52.00
8/21/2019,PulseCraft Depot,ApexVolt Industries,8.82,26.00
8/21/2019,PulseCraft Depot,ZenithCraft Engineering,409.00,2170.00
8/21/2019,PulseCraft Depot,VoltIndus Fabrications,36.73,186.00
8/22/2019,Cash,AnchorVolt Industries,198.14,612.80
8/22/2019,Cash,AnchorVolt Industries,144.64,746.40
8/22/2019,Cash,NexaGrid Solutions,449.19,5032.84
8/22/2019,Cash,PowerCrest Engineering,72.05,374.90
8/22/2019,Cash,OrionVolt Systems,164.27,365.00
8/22/2019,PulseCraft Depot,ApexVolt Industries,31.34,90.00
8/22/2019,PulseCraft Depot,HavellCore Technologies,4.46,19.04
8/22/2019,PulseCraft Depot,ElectroSaar Fabricators,39.23,73.20
8/22/2019,PulseCraft Depot,ElectroSaar Fabricators,47.87,118.00
8/23/2019,PulseCraft Depot,AnchorVolt Industries,709.20,2730.00
8/23/2019,Cash,AnchorVolt Industries,68.24,158.16
8/23/2019,Cash,AnchorVolt Industries,293.25,823.46
8/23/2019,Cash,AnchorVolt Industries,435.32,1423.20
8/23/2019,Cash,AnchorVolt Industries,43.13,135.01
8/23/2019,Cash,AnchorVolt Industries,165.97,462.60
8/23/2019,Cash,AnchorVolt Industries,104.67,305.35
8/23/2019,Cash,AnchorVolt Industries,26.89,83.60
8/23/2019,Cash,AnchorVolt Industries,21.60,69.60
8/23/2019,Cash,PowerCrest Engineering,12.01,44.90
8/23/2019,Cash,BharatElectra Works,424.81,1110.45
8/23/2019,Cash,OrionVolt Systems,93.20,375.96
8/23/2019,PulseCraft Depot,BharatElectra Works,51.05,134.17
8/23/2019,PulseCraft Depot,SupraVolt Manufacturing,13.85,26.00
8/23/2019,Cash,NexaGrid Solutions,10.10,55.00
8/23/2019,Cash,SupraVolt Manufacturing,302.61,1299.00
8/24/2019,Cash,DynoAnchor Works,18.29,207.36
8/24/2019,Cash,BharatElectra Works,-56.50,2908.52
8/24/2019,Cash,BharatElectra Works,-78.79,3350.83
8/24/2019,Cash,BharatElectra Works,-127.72,5164.89
8/25/2019,VoltMaster,SupraVolt Manufacturing,549.67,2244.00
8/25/2019,VoltMaster,SupraVolt Manufacturing,133.44,1134.00
8/25/2019,VoltMaster,SupraVolt Manufacturing,302.34,1122.00
8/25/2019,VoltMaster,SupraVolt Manufacturing,177.51,1131.35
8/25/2019,Cash,DynoAnchor Works,7.67,60.16
8/25/2019,Cash,BharatElectra Works,-114.97,3293.92
8/25/2019,PulseCraft Depot,AnchorVolt Industries,133.40,469.69
8/25/2019,PulseCraft Depot,AnchorVolt Industries,42.90,155.92
8/25/2019,PulseCraft Depot,ApexVolt Industries,48.47,116.50
8/25/2019,PulseCraft Depot,OrionVolt Systems,50.66,117.28
8/25/2019,PulseCraft Depot,OrionVolt Systems,32.12,70.84
8/25/2019,PulseCraft Depot,BharatElectra Works,-27.96,1098.64
8/26/2019,PulseCraft Depot,HavellCore Technologies,6.46,14.04
8/26/2019,PulseCraft Depot,BharatElectra Works,34.19,113.00
8/27/2019,PulseCraft Depot,PowerShakti Engineering,14.80,216.00
8/27/2019,PulseCraft Depot,NexaGrid Solutions,24.15,110.00
